position,name,url,rating,rating_count,industry_location,reviews,salaries,interviews,jobs,benefits,photos,highly_rated_for,critically_rated_for
1,TCS,https://www.ambitionbox.com/overview/tcs-overview,3.6,(96.8k),IT Services & Consulting | Bangalore / Bengaluru +413 other locations,96.8k,9.1L,11k,152,12k,86,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
2,Accenture,https://www.ambitionbox.com/overview/accenture-overview,3.8,(62.3k),IT Services & Consulting | Bangalore / Bengaluru +227 other locations,62.3k,6.1L,8.5k,10.1k,7.4k,48,,"Promotions / Appraisal, Salary & Benefits"
3,Wipro,https://www.ambitionbox.com/overview/wipro-overview,3.7,(56.7k),IT Services & Consulting | Bangalore / Bengaluru +358 other locations,56.7k,4.6L,6k,4.8k,5.3k,101,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4,Cognizant,https://www.ambitionbox.com/overview/cognizant-overview,3.7,(53.8k),IT Services & Consulting | Hyderabad / Secunderabad +212 other locations,53.8k,5.8L,5.8k,574,6.1k,82,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
5,Capgemini,https://www.ambitionbox.com/overview/capgemini-overview,3.7,(45.5k),IT Services & Consulting | Bangalore / Bengaluru +172 other locations,45.5k,4.5L,5k,1.3k,4.2k,41,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
6,HDFC Bank,https://www.ambitionbox.com/overview/hdfc-bank-overview,3.9,(42.9k),Banking | Mumbai +1693 other locations,42.9k,1.4L,2.4k,172,3.4k,68,"Job Security, Skill Development / Learning",Promotions / Appraisal
7,Infosys,https://www.ambitionbox.com/overview/infosys-overview,3.6,(42.4k),IT Services & Consulting | Bangalore / Bengaluru +228 other locations,42.4k,4.9L,7.8k,1.5k,5.4k,117,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
8,ICICI Bank,https://www.ambitionbox.com/overview/icici-bank-overview,4.0,(41.4k),Banking | Mumbai +1392 other locations,41.4k,1.5L,2.6k,3,3.8k,64,"Job Security, Skill Development / Learning, Company Culture",
9,HCLTech,https://www.ambitionbox.com/overview/hcl-technologies-overview,3.5,(39.1k),IT Services & Consulting | Chennai +216 other locations,39.1k,3.5L,4k,343,4.3k,58,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
10,Tech Mahindra,https://www.ambitionbox.com/overview/tech-mahindra-overview,3.5,(37.7k),IT Services & Consulting | Hyderabad / Secunderabad +320 other locations,37.7k,2.7L,4k,349,3.8k,70,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
11,Genpact,https://www.ambitionbox.com/overview/genpact-overview,3.8,(35.2k),IT Services & Consulting | Hyderabad / Secunderabad +160 other locations,35.2k,2.1L,3.3k,498,3.9k,58,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
12,Teleperformance,https://www.ambitionbox.com/overview/teleperformance-overview,3.9,(32k),BPO | Mumbai +245 other locations,32k,91.9k,1.9k,316,2.3k,38,"Company Culture, Work Life Balance, Job Security",
13,Concentrix Corporation,https://www.ambitionbox.com/overview/concentrix-corporation-overview,3.7,(28.2k),BPO | Bangalore / Bengaluru +165 other locations,28.2k,1.2L,1.7k,115,3.4k,63,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
14,Axis Bank,https://www.ambitionbox.com/overview/axis-bank-overview,3.7,(27.8k),Banking | Mumbai +1421 other locations,27.8k,1L,1.6k,224,2.2k,91,,"Promotions / Appraisal, Work Satisfaction"
15,Amazon,https://www.ambitionbox.com/overview/amazon-overview,4.0,(26.9k),Internet | Bangalore / Bengaluru +498 other locations,26.9k,1.3L,5.3k,2.9k,4.4k,84,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
16,Jio,https://www.ambitionbox.com/overview/jio-overview,4.0,(25.2k),Telecom | Mumbai +1416 other locations,25.2k,61.2k,2.2k,58,2.7k,70,"Job Security, Skill Development / Learning, Company Culture",
