ID,WikiDataID,Type,City,Name,Country,CountryCode,Region,RegionCode,Latitude,Longitude,Population
3350606,Q24668,CITY,Aixirivall,Aixirivall,Andorra,AD,Sant Julià de Lòria,06,42.46245,1.50209,1025
3216144,Q24656,CITY,Aixovall,Aixovall,Andorra,AD,Sant Julià de Lòria,06,42.47635833,1.48949167,69
3406038,Q4699394,CITY,Aixàs,Aixàs,Andorra,AD,Sant Julià de Lòria,06,42.48638889,1.46722222,0
3360277,Q24475,CITY,Ansalonga,Ansalonga,Andorra,AD,Ordino,05,42.568443,1.521571,0
3341362,Q24551,CITY,Anyós,Anyós,Andorra,AD,La Massana,04,42.53459167,1.54165,1006
3361293,Q24478,CITY,Arans,Arans,Andorra,AD,Ordino,05,42.58333333,1.51666667,0
866,Q24554,CITY,Arinsal,Arinsal,Andorra,AD,La Massana,04,42.56666667,1.48333333,1419
3394034,Q24650,CITY,Aubinyà,Aubinyà,Andorra,AD,Sant Julià de Lòria,06,42.4528,1.493,0
3292906,Q24641,CITY,Bixessarri,Bixessarri,Andorra,AD,Sant Julià de Lòria,06,42.48251111,1.45860833,0
3481376,Q4944722,CITY,Bordes d'Envalira,Bordes d'Envalira,Andorra,AD,Canillo,02,42.56666667,1.61666667,0
3852308,Q5034280,CITY,Canòlic,Canòlic,Andorra,AD,Sant Julià de Lòria,06,42.47444444,1.45194444,0
3403329,Q24630,CITY,Certés,Certés,Andorra,AD,Sant Julià de Lòria,06,42.47527778,1.50583333,0
3851202,Q24379,CITY,El Forn,El Forn,Andorra,AD,Canillo,02,42.53333333,1.56666667,99
408,Q24456,CITY,El Pas de la Casa,El Pas de la Casa,Andorra,AD,Encamp,03,42.54277,1.73361,1927
3206457,Q24490,CITY,El Serrat,El Serrat,Andorra,AD,Ordino,05,42.618123,1.538225,0
614,Q24413,CITY,El Tarter,El Tarter,Andorra,AD,Canillo,02,42.58333333,1.65,747
3354198,Q24411,CITY,El Vilar,El Vilar,Andorra,AD,Canillo,02,42.56666667,1.6,0
3489827,Q24417,CITY,Els Plans,Els Plans,Andorra,AD,Canillo,02,42.580603,1.635486,38
3496486,Q1154347,CITY,Els Vilars d'Engordany,Els Vilars d'Engordany,Andorra,AD,Escaldes-Engordany,08,42.51636,1.53356,0
3851452,Q746899,CITY,Engolasters,Engolasters,Andorra,AD,Escaldes-Engordany,08,42.51147,1.560467,0
3200831,Q586510,CITY,Engordany,Engordany,Andorra,AD,Escaldes-Engordany,08,42.511830555,1.540075,0
3282473,Q24556,CITY,Erts,Erts,Andorra,AD,La Massana,04,42.56361111,1.495,0
3356743,Q24566,CITY,Escàs,Escàs,Andorra,AD,La Massana,04,42.55,1.51666667,0
3482283,Q24629,CITY,Fontaneda,Fontaneda,Andorra,AD,Sant Julià de Lòria,06,42.4539,1.4575,110
3228107,Q24388,CITY,Incles,Incles,Andorra,AD,Canillo,02,42.583,1.662,510
3420693,Q24625,CITY,Juberri,Juberri,Andorra,AD,Sant Julià de Lòria,06,42.44,1.50666667,0
2987553,Q24371,CITY,L'Aldosa de Canillo,L'Aldosa de Canillo,Andorra,AD,Canillo,02,42.57777778,1.61944444,289
3467153,Q24540,CITY,L'Aldosa de la Massana,L'Aldosa de la Massana,Andorra,AD,La Massana,04,42.54391,1.52289,594
3852981,Q6455591,CITY,L'Armiana,L'Armiana,Andorra,AD,Canillo,02,42.53333333,1.56666667,0
3086756,Q24486,CITY,La Cortinada,La Cortinada,Andorra,AD,Ordino,05,42.57667,1.51773,845
3056764,Q2536296,CITY,La Margineda,La Margineda,Andorra,AD,Andorra la Vella,07,42.4859,1.49045,155
3264421,Q24447,CITY,Les Bons,Les Bons,Andorra,AD,Encamp,03,42.53333333,1.58333333,0
759,Q1050185,CITY,Les Escaldes,Les Escaldes,Andorra,AD,Escaldes-Engordany,08,42.5,1.53333333,15853
3383502,Q24483,CITY,Llorts,Llorts,Andorra,AD,Ordino,05,42.596389,1.526638,0
3299914,Q24622,CITY,Llumeneres,Llumeneres,Andorra,AD,Sant Julià de Lòria,06,42.4725,1.51111111,5
3280253,Q24390,CITY,Meritxell,Meritxell,Andorra,AD,Canillo,02,42.55416667,1.59055556,69
3326276,Q6896400,CITY,Molleres,Molleres,Andorra,AD,Canillo,02,42.55,1.58333333,0
3199570,Q24611,CITY,Nagol,Nagol,Andorra,AD,Sant Julià de Lòria,06,42.47111111,1.50333333,0
3300956,Q24558,CITY,Pal,Pal,Andorra,AD,La Massana,04,42.55,1.48333333,235
3495353,Q24415,CITY,Prats,Prats,Andorra,AD,Canillo,02,42.560397,1.593975,0
3323791,Q24392,CITY,Ransol,Ransol,Andorra,AD,Canillo,02,42.58333333,1.63333333,0
3077529,Q24597,CITY,Santa Coloma d'Andorra,Santa Coloma d'Andorra,Andorra,AD,Andorra la Vella,07,42.493897222,1.497683333,3002
3199670,Q24499,CITY,Segudet,Segudet,Andorra,AD,Ordino,05,42.55,1.53333333,0
3437048,Q24562,CITY,Sispony,Sispony,Andorra,AD,La Massana,04,42.53333333,1.51666667,833
2996424,Q24398,CITY,Soldeu,Soldeu,Andorra,AD,Canillo,02,42.576944444,1.667222222,622
3259911,Q24495,CITY,Sornàs,Sornàs,Andorra,AD,Ordino,05,42.56666667,1.53333333,0
3205272,Q24459,CITY,Vila,Vila,Andorra,AD,Encamp,03,42.5319,1.5656,1143
3333301,Q2544237,CITY,Xixerella,Xixerella,Andorra,AD,La Massana,04,42.55,1.48333,0
